id,name,url,parent_id
216," Vòng Đeo Thông Minh - Vòng Theo Dõi Vận Động (95)
",https://tiki.vn/vong-deo-thong-minh-vong-theo-doi-van-dong/c8043?src=c.1815.hamburger_menu_fly_out_banner,49.0
217," Đồng Hồ Thông Minh (691)
",https://tiki.vn/dong-ho-thong-minh/c2657?src=c.1815.hamburger_menu_fly_out_banner,49.0
218," Adapter Sạc - Cáp Sạc Cho Thiết Bị Đeo (51)
",https://tiki.vn/adapter-sac-cap-sac-cho-thiet-bi-deo/c28430?src=c.1815.hamburger_menu_fly_out_banner,214.0
219," Dây Đeo Thay Thế, Phụ Trợ - Phụ Kiện Khác (802)
",https://tiki.vn/day-deo-thay-the-phu-tro-phu-kien-khac/c28428?src=c.1815.hamburger_menu_fly_out_banner,214.0
220," Miếng Dán Màn Hình (138)
",https://tiki.vn/mieng-dan-man-hinh/c28426?src=c.1815.hamburger_menu_fly_out_banner,214.0
227," Laptop 2 trong 1 (19)
",https://tiki.vn/laptop-2-trong-1/c29008?src=c.1846.hamburger_menu_fly_out_banner,221.0
228," Laptop Gaming (64)
",https://tiki.vn/laptop-gaming/c5584?src=c.1846.hamburger_menu_fly_out_banner,221.0
229," Laptop Truyền Thống (584)
",https://tiki.vn/laptop-truyen-thong/c29010?src=c.1846.hamburger_menu_fly_out_banner,221.0
230," Macbook (15)
",https://tiki.vn/macbook-imac/c2458?src=c.1846.hamburger_menu_fly_out_banner,221.0
231," Bộ Lưu Điện - UPS (183)
",https://tiki.vn/bo-luu-dien-ups/c11964?src=c.1846.hamburger_menu_fly_out_banner,222.0
232," Bộ Vi Xử Lý CPU (97)
",https://tiki.vn/bo-vi-xu-ly-cpu/c11962?src=c.1846.hamburger_menu_fly_out_banner,222.0
233," Card Màn Hình - VGA (215)
",https://tiki.vn/card-man-hinh-vga/c11958?src=c.1846.hamburger_menu_fly_out_banner,222.0
235," I/O Port Cards (7)
",https://tiki.vn/io-port-cards/c28910?src=c.1846.hamburger_menu_fly_out_banner,222.0
236," KVM Switches - Switch HDMI (30)
",https://tiki.vn/kvm-switches-switch-hdmi/c28916?src=c.1846.hamburger_menu_fly_out_banner,222.0
237," Linh Kiện Máy Tính Khác (183)
",https://tiki.vn/linh-kien-may-tinh-khac/c11968?src=c.1846.hamburger_menu_fly_out_banner,222.0
239," Mainboard - Board Mạch Chủ (262)
",https://tiki.vn/mainboard-board-mach-chu/c11956?src=c.1846.hamburger_menu_fly_out_banner,222.0
240," Nguồn Máy Tính (234)
",https://tiki.vn/nguon-may-tinh/c28900?src=c.1846.hamburger_menu_fly_out_banner,222.0
242," Sound Card - Card Âm Thanh (58)
",https://tiki.vn/sound-card-card-am-thanh/c11966?src=c.1846.hamburger_menu_fly_out_banner,222.0
243," Thiết Bị Streaming và Capture Cards (17)
",https://tiki.vn/thiet-bi-streaming-va-capture-cards/c28914?src=c.1846.hamburger_menu_fly_out_banner,222.0
